onset	duration	Scoring1
3.00000384449959	30	1
33.0000038444996	30	1
63.0000038444996	30	1
93.0000038444996	30	1
123.0000038445	30	1
153.0000038445	30	1
183.0000038445	30	1
213.0000038445	30	1
243.0000038445	30	1
273.0000038445	30	1
303.0000038445	30	1
333.0000038445	30	1
363.0000038445	30	1
393.0000038445	30	1
423.0000038445	30	1
453.0000038445	30	1
483.0000038445	30	1
513.0000038445	30	1
543.0000038445	30	1
573.0000038445	30	1
603.0000038445	30	1
633.0000038445	30	1
663.0000038445	30	1
693.0000038445	30	1
723.0000038445	30	1
753.0000038445	30	1
783.0000038445	30	1
813.0000038445	30	1
843.0000038445	30	1
873.0000038445	30	1
903.0000038445	30	1
933.0000038445	30	1
963.0000038445	30	1
993.0000038445	30	1
1023.0000038445	30	1
1053.0000038445	30	1
1083.0000038445	30	1
1113.0000038445	30	1
1143.0000038445	30	1
1173.0000038445	30	1
1203.0000038445	30	1
1233.0000038445	30	1
1263.0000038445	30	1
1293.0000038445	30	1
1323.0000038445	30	1
1353.0000038445	30	1
1383.0000038445	30	1
1413.0000038445	30	1
1443.0000038445	30	1
1473.0000038445	30	1
1503.0000038445	30	1
1533.0000038445	30	1
1563.0000038445	30	1
1593.0000038445	30	1
1623.0000038445	30	1
1653.0000038445	30	1
1683.0000038445	30	1
1713.0000038445	30	1
1743.0000038445	30	1
1773.0000038445	30	1
1803.0000038445	30	1
1833.0000038445	30	1
1863.0000038445	30	1
1893.0000038445	30	1
1923.0000038445	30	1
1953.0000038445	30	1
1983.0000038445	30	1
2013.0000038445	30	1
2043.0000038445	30	1
2073.0000038445	30	1
2103.0000038445	30	1
2133.0000038445	30	1
2163.0000038445	30	1
2193.0000038445	30	1
2223.0000038445	30	1
2253.0000038445	30	1
2283.0000038445	30	1
2313.0000038445	30	1
2343.0000038445	30	1
2373.0000038445	30	1
2403.0000038445	30	1
2433.0000038445	30	1
2463.0000038445	30	1
2493.0000038445	30	1
2523.0000038445	30	1
2553.0000038445	30	1
2583.0000038445	30	1
2613.0000038445	30	1
2643.0000038445	30	1
2673.0000038445	30	1
2703.0000038445	30	1
2733.0000038445	30	1
2763.0000038445	30	1
2793.0000038445	30	1
2823.0000038445	30	1
2853.0000038445	30	1
2883.0000038445	30	1
