onset	duration	Scoring2	Has_Arousal
27.9999990016222	30	1	0
57.9999990016222	30	1	0
87.9999990016222	30	1	0
117.999999001622	30	1	0
147.999999001622	30	1	0
177.999999001622	30	1	0
207.999999001622	30	1	0
237.999999001622	30	1	0
267.999999001622	30	1	0
297.999999001622	30	1	0
327.999999001622	30	1	0
357.999999001622	30	1	0
387.999999001622	30	1	0
417.999999001622	30	1	0
447.999999001622	30	1	0
477.999999001622	30	1	0
507.999999001622	30	1	0
537.999999001622	30	1	0
567.999999001622	30	1	0
597.999999001622	30	1	0
627.999999001622	30	1	0
657.999999001622	30	1	0
687.999999001622	30	1	0
717.999999001622	30	1	0
747.999999001622	30	1	0
777.999999001622	30	1	0
807.999999001622	30	1	0
837.999999001622	30	1	0
867.999999001622	30	1	0
897.999999001622	30	1	0
927.999999001622	30	1	0
957.999999001622	30	1	0
987.999999001622	30	1	0
1017.99999900162	30	1	0
1047.99999900162	30	1	0
1077.99999900162	30	1	0
1107.99999900162	30	1	0
1137.99999900162	30	1	0
1167.99999900162	30	1	0
1197.99999900162	30	1	0
1227.99999900162	30	1	0
1257.99999900162	30	1	0
1287.99999900162	30	1	0
1317.99999900162	30	1	0
1347.99999900162	30	1	0
1377.99999900162	30	1	0
1407.99999900162	30	1	0
1437.99999900162	30	1	0
1467.99999900162	30	1	0
1497.99999900162	30	1	0
1527.99999900162	30	1	0
1557.99999900162	30	1	0
1587.99999900162	30	1	0
1617.99999900162	30	1	0
1647.99999900162	30	1	0
1677.99999900162	30	1	0
1707.99999900162	30	1	0
1737.99999900162	30	1	0
1767.99999900162	30	1	0
1797.99999900162	30	1	0
1827.99999900162	30	1	0
1857.99999900162	30	1	0
1887.99999900162	30	1	0
1917.99999900162	30	1	0
1947.99999900162	30	1	0
1977.99999900162	30	1	0
2007.99999900162	30	1	0
2037.99999900162	30	1	0
2067.99999900162	30	1	0
2097.99999900162	30	1	0
2127.99999900162	30	1	0
2157.99999900162	30	1	0
2187.99999900162	30	1	0
2217.99999900162	30	1	0
2247.99999900162	30	1	0
2277.99999900162	30	1	0
2307.99999900162	30	1	0
2337.99999900162	30	1	0
2367.99999900162	30	1	0
2397.99999900162	30	1	0
2427.99999900162	30	1	0
2457.99999900162	30	1	0
2487.99999900162	30	1	0
2517.99999900162	30	1	0
2547.99999900162	30	1	0
2577.99999900162	30	1	0
2607.99999900162	30	1	0
2637.99999900162	30	1	0
2667.99999900162	30	1	0
2697.99999900162	30	1	0
2727.99999900162	30	1	0
2757.99999900162	30	1	0
2787.99999900162	30	1	0
2817.99999900162	30	1	0
2847.99999900162	30	1	0
